Query_ID,Query_Text,Department,Device,Time_of_Day
Q00001,"Good evening,

I'm writing to report a serious issue with my Smartwatch. Please look into this matter urgently.

Thank you.",Shipping,Smartwatch,2025-05-16 23:26:09
Q00001_aug_1,"Good evening, I'm writing to report a serious problem with my Smartwatch.",Shipping,Smartwatch,2025-05-16 23:26:09
Q00002,"Hi there,

My recent experience with the Gaming Console has been quite disappointing due to several bugs. Looking forward to your swift assistance.

Thank you.",Billing,Gaming Console,2025-05-03 07:30:10
Q00002_aug_1,"Hello, My recent experience with the game console has been quite disappointing due to several bugs. Pending your quick help. Thank you.",Billing,Gaming Console,2025-05-03 07:30:10
Q00003,"I hope this message finds you well,

Could you please assist with an unexpected error I've encountered on my Printer? Looking forward to your swift assistance.

Thank you.",Shipping,Printer,2025-05-03 12:18:38
Q00003_aug_1,"I hope this message will find you, could you, please, help with an unexpected mistake that I encountered on my printer?",Shipping,Printer,2025-05-03 12:18:38
Q00004,"I hope this message finds you well,

I'm writing to report a serious issue with my Smart TV. 

Thank you.",Warranty Claims,Smart TV,2025-05-22 20:48:41
Q00004_aug_1,"I hope this message will find you, I am writing to report a serious problem with my Smart TV.",Warranty Claims,Smart TV,2025-05-22 20:48:41
Q00005,"I hope this message finds you well,

I need assistance with my Laptop regarding a problem that just started this morning. 

Thank you.",Technical Support,Laptop,2025-05-02 06:11:37
Q00005_aug_1,"I hope this message will find you, I need help with my laptop about a problem that just started this morning. Thank you.",Technical Support,Laptop,2025-05-02 06:11:37
Q00006,"Hello team,

Could you please assist with an unexpected error I've encountered on my Printer? 

Thank you.",Technical Support,Printer,2025-04-30 12:34:07
Q00006_aug_1,"Hello team, could you help with an unexpected mistake that I encountered on my printer? Thank you.",Technical Support,Printer,2025-04-30 12:34:07
Q00007,"Hello,

I've been facing persistent problems with my Printer. 

Thank you.",Returns & Refunds,Printer,2025-05-08 03:08:33
Q00007_aug_1,"Hello, I have been confronted with persistent problems with my printer.",Returns & Refunds,Printer,2025-05-08 03:08:33
Q00008,"Good evening,

I'm writing to report a serious issue with my Printer. 

Thank you.",Returns & Refunds,Printer,2025-05-11 06:46:21
Q00008_aug_1,"Good evening, I am writing to report a serious problem with my Printer.",Returns & Refunds,Printer,2025-05-11 06:46:21
Q00009,"Dear support,

I'm writing to report a serious issue with my Laptop. 

Thank you.",Returns & Refunds,Laptop,2025-05-19 00:22:20
Q00009_aug_1,"Dear support, I am writing to report a serious problem with my laptop.",Returns & Refunds,Laptop,2025-05-19 00:22:20
Q00010,"Hi there,

My recent experience with the Gaming Console has been quite disappointing due to several bugs. 

Thank you.",Billing,Gaming Console,2025-05-22 21:12:24
Q00010_aug_1,"Hello, My recent experience with the game console has been quite disappointing due to several bugs. Thank you.",Billing,Gaming Console,2025-05-22 21:12:24
Q00011,"Good evening,

Could you please assist with an unexpected error I've encountered on my Tablet? 

Thank you.",Returns & Refunds,Tablet,2025-04-27 00:25:07
Q00011_aug_1,"Good evening, could you help us with an unexpected mistake I met on my tablet?",Returns & Refunds,Tablet,2025-04-27 00:25:07
Q00012,"Good morning,

I'm writing to report a serious issue with my Tablet. 

Thank you.",Account Management,Tablet,2025-05-03 06:54:11
Q00012_aug_1,"Hello, I'm writing to report a serious problem with my tablet.",Account Management,Tablet,2025-05-03 06:54:11
Q00013,"To whom it may concern,

Could you please assist with an unexpected error I've encountered on my Smartwatch? 

Thank you.",Returns & Refunds,Smartwatch,2025-05-05 06:26:38
Q00013_aug_1,"To whom can it concern, could you help with an unexpected mistake that I encountered on my Smartwatch? Thank you.",Returns & Refunds,Smartwatch,2025-05-05 06:26:38
Q00014,"To whom it may concern,

I'm writing to report a serious issue with my Smartwatch. I would appreciate a prompt response.

Thank you.",Order Management,Smartwatch,2025-04-24 07:27:28
Q00014_aug_1,"To whom this may concern, I write to report a serious problem with my Smartwatch. I would like a quick answer. Thank you.",Order Management,Smartwatch,2025-04-24 07:27:28
Q00015,"Hi there,

My Smartphone has stopped functioning properly and I need help resolving the issue. 

Thank you.",Order Management,Smartphone,2025-05-02 10:04:41
Q00015_aug_1,"Hello, My Smartphone stopped working properly and I need help solving the problem. Thank you.",Order Management,Smartphone,2025-05-02 10:04:41
Q00016,"I hope this message finds you well,

There seems to be a malfunction with my Printer that needs urgent attention. Please look into this matter urgently.

Thank you.",Shipping,Printer,2025-05-08 02:05:49
Q00016_aug_1,"I hope this message finds you well, there seems to be a malfunction with my printer that needs urgent attention. Please consider this issue of urgency. Thank you.",Shipping,Printer,2025-05-08 02:05:49
Q00017,"Hello team,

This is to bring to your attention an ongoing issue with my Smartwatch that hasn't been resolved yet. Looking forward to your swift assistance.

Thank you.",Warranty Claims,Smartwatch,2025-05-05 11:01:04
Q00017_aug_1,"Hello team, This is to bring to your attention a continuous problem with my Smartwatch that has not yet been solved.",Warranty Claims,Smartwatch,2025-05-05 11:01:04
Q00018,"Hello team,

Could you please assist with an unexpected error I've encountered on my Laptop? I would appreciate a prompt response.

Thank you.",Technical Support,Laptop,2025-04-28 00:35:52
Q00018_aug_1,"Hello team, Can you help with an unexpected mistake that I encountered on my laptop? I would appreciate a quick answer. Thank you.",Technical Support,Laptop,2025-04-28 00:35:52
Q00019,"Good evening,

I need assistance with my Smartwatch regarding a problem that just started this morning. Looking forward to your swift assistance.

Thank you.",Order Management,Smartwatch,2025-04-27 20:55:08
Q00019_aug_1,"Good evening, I need help with my Smartwatch about a problem that just started this morning.",Order Management,Smartwatch,2025-04-27 20:55:08
Q00020,"I hope this message finds you well,

My recent experience with the Laptop has been quite disappointing due to several bugs. Looking forward to your swift assistance.

Thank you.",Returns & Refunds,Laptop,2025-05-01 07:40:06
Q00020_aug_1,"I hope this message finds you well, My recent experience with the Laptop has been quite disappointing due to several bugs.",Returns & Refunds,Laptop,2025-05-01 07:40:06
Q00021,"Good morning,

My Smartwatch has stopped functioning properly and I need help resolving the issue. 

Thank you.",Order Management,Smartwatch,2025-05-02 10:54:04
Q00021_aug_1,"Hello, My Smartwatch stopped working properly and I need help solving the problem. Thank you.",Order Management,Smartwatch,2025-05-02 10:54:04
Q00022,"Good morning,

I'm writing to report a serious issue with my Smartwatch. 

Thank you.",Billing,Smartwatch,2025-05-13 17:28:46
