Query_ID,Query_Text,Department,Device,Time_of_Day,Hour,Day_of_Week,Department_Code,Device_Code
Q00001,"Good evening,

I'm writing to report a serious issue with my Smartwatch. Please look into this matter urgently.

Thank you.",Shipping,Smartwatch,2025-05-16 23:26:09,23,4,5,0
Q00001_aug_1,"Good evening, I'm writing to report a serious problem with my Smartwatch.",Shipping,Smartwatch,2025-05-16 23:26:09,23,4,5,0
Q00002,"Hi there,

My recent experience with the Gaming Console has been quite disappointing due to several bugs. Looking forward to your swift assistance.

Thank you.",Billing,Gaming Console,2025-05-03 07:30:10,7,5,1,1
Q00002_aug_1,"Hello, My recent experience with the game console has been quite disappointing due to several bugs. Pending your quick help. Thank you.",Billing,Gaming Console,2025-05-03 07:30:10,7,5,1,1
Q00003,"I hope this message finds you well,

Could you please assist with an unexpected error I've encountered on my Printer? Looking forward to your swift assistance.

Thank you.",Shipping,Printer,2025-05-03 12:18:38,12,5,5,2
Q00003_aug_1,"I hope this message will find you, could you, please, help with an unexpected mistake that I encountered on my printer?",Shipping,Printer,2025-05-03 12:18:38,12,5,5,2
Q00004,"I hope this message finds you well,

I'm writing to report a serious issue with my Smart TV. 

Thank you.",Warranty Claims,Smart TV,2025-05-22 20:48:41,20,3,7,3
Q00004_aug_1,"I hope this message will find you, I am writing to report a serious problem with my Smart TV.",Warranty Claims,Smart TV,2025-05-22 20:48:41,20,3,7,3
Q00006,"Hello team,

Could you please assist with an unexpected error I've encountered on my Printer? 

Thank you.",Technical Support,Printer,2025-04-30 12:34:07,12,2,6,2
Q00006_aug_1,"Hello team, could you help with an unexpected mistake that I encountered on my printer? Thank you.",Technical Support,Printer,2025-04-30 12:34:07,12,2,6,2
Q00007,"Hello,

I've been facing persistent problems with my Printer. 

Thank you.",Returns & Refunds,Printer,2025-05-08 03:08:33,3,3,4,2
Q00007_aug_1,"Hello, I have been confronted with persistent problems with my printer.",Returns & Refunds,Printer,2025-05-08 03:08:33,3,3,4,2
Q00008,"Good evening,

I'm writing to report a serious issue with my Printer. 

Thank you.",Returns & Refunds,Printer,2025-05-11 06:46:21,6,6,4,2
Q00008_aug_1,"Good evening, I am writing to report a serious problem with my Printer.",Returns & Refunds,Printer,2025-05-11 06:46:21,6,6,4,2
Q00009,"Dear support,

I'm writing to report a serious issue with my Laptop. 

Thank you.",Returns & Refunds,Laptop,2025-05-19 00:22:20,0,0,4,4
Q00009_aug_1,"Dear support, I am writing to report a serious problem with my laptop.",Returns & Refunds,Laptop,2025-05-19 00:22:20,0,0,4,4
Q00010,"Hi there,

My recent experience with the Gaming Console has been quite disappointing due to several bugs. 

Thank you.",Billing,Gaming Console,2025-05-22 21:12:24,21,3,1,1
Q00010_aug_1,"Hello, My recent experience with the game console has been quite disappointing due to several bugs. Thank you.",Billing,Gaming Console,2025-05-22 21:12:24,21,3,1,1
Q00011,"Good evening,

Could you please assist with an unexpected error I've encountered on my Tablet? 

Thank you.",Returns & Refunds,Tablet,2025-04-27 00:25:07,0,6,4,5
Q00011_aug_1,"Good evening, could you help us with an unexpected mistake I met on my tablet?",Returns & Refunds,Tablet,2025-04-27 00:25:07,0,6,4,5
Q00012,"Good morning,

I'm writing to report a serious issue with my Tablet. 

Thank you.",Account Management,Tablet,2025-05-03 06:54:11,6,5,0,5
Q00012_aug_1,"Hello, I'm writing to report a serious problem with my tablet.",Account Management,Tablet,2025-05-03 06:54:11,6,5,0,5
Q00013,"To whom it may concern,

Could you please assist with an unexpected error I've encountered on my Smartwatch? 

Thank you.",Returns & Refunds,Smartwatch,2025-05-05 06:26:38,6,0,4,0
Q00013_aug_1,"To whom can it concern, could you help with an unexpected mistake that I encountered on my Smartwatch? Thank you.",Returns & Refunds,Smartwatch,2025-05-05 06:26:38,6,0,4,0
Q00014,"To whom it may concern,

I'm writing to report a serious issue with my Smartwatch. I would appreciate a prompt response.

Thank you.",Order Management,Smartwatch,2025-04-24 07:27:28,7,3,2,0
Q00014_aug_1,"To whom this may concern, I write to report a serious problem with my Smartwatch. I would like a quick answer. Thank you.",Order Management,Smartwatch,2025-04-24 07:27:28,7,3,2,0
Q00015,"Hi there,

My Smartphone has stopped functioning properly and I need help resolving the issue. 

Thank you.",Order Management,Smartphone,2025-05-02 10:04:41,10,4,2,6
Q00015_aug_1,"Hello, My Smartphone stopped working properly and I need help solving the problem. Thank you.",Order Management,Smartphone,2025-05-02 10:04:41,10,4,2,6
Q00018,"Hello team,

Could you please assist with an unexpected error I've encountered on my Laptop? I would appreciate a prompt response.

Thank you.",Technical Support,Laptop,2025-04-28 00:35:52,0,0,6,4
Q00018_aug_1,"Hello team, Can you help with an unexpected mistake that I encountered on my laptop? I would appreciate a quick answer. Thank you.",Technical Support,Laptop,2025-04-28 00:35:52,0,0,6,4
Q00019,"Good evening,

I need assistance with my Smartwatch regarding a problem that just started this morning. Looking forward to your swift assistance.

Thank you.",Order Management,Smartwatch,2025-04-27 20:55:08,20,6,2,0
Q00019_aug_1,"Good evening, I need help with my Smartwatch about a problem that just started this morning.",Order Management,Smartwatch,2025-04-27 20:55:08,20,6,2,0
Q00020,"I hope this message finds you well,

My recent experience with the Laptop has been quite disappointing due to several bugs. Looking forward to your swift assistance.

Thank you.",Returns & Refunds,Laptop,2025-05-01 07:40:06,7,3,4,4
Q00020_aug_1,"I hope this message finds you well, My recent experience with the Laptop has been quite disappointing due to several bugs.",Returns & Refunds,Laptop,2025-05-01 07:40:06,7,3,4,4
Q00021,"Good morning,

My Smartwatch has stopped functioning properly and I need help resolving the issue. 

Thank you.",Order Management,Smartwatch,2025-05-02 10:54:04,10,4,2,0
Q00021_aug_1,"Hello, My Smartwatch stopped working properly and I need help solving the problem. Thank you.",Order Management,Smartwatch,2025-05-02 10:54:04,10,4,2,0
Q00023,"Dear support,

My recent experience with the Printer has been quite disappointing due to several bugs. 

Thank you.",Returns & Refunds,Printer,2025-05-11 07:45:37,7,6,4,2
Q00023_aug_1,"Dear support, My recent experience with the Printer has been quite disappointing due to several bugs. Thank you.",Returns & Refunds,Printer,2025-05-11 07:45:37,7,6,4,2
Q00024,"Dear support,

I'm writing to report a serious issue with my Tablet. I would appreciate a prompt response.

Thank you.",Warranty Claims,Tablet,2025-05-13 12:26:43,12,1,7,5
Q00024_aug_1,"Dear support, I am writing to report a serious problem with my tablet. I would like to receive a quick answer. Thank you.",Warranty Claims,Tablet,2025-05-13 12:26:43,12,1,7,5
Q00025,"Good morning,

After the recent update, my Smartphone isn't working as expected. 

Thank you.",Technical Support,Smartphone,2025-05-02 19:03:03,19,4,6,6
Q00025_aug_1,"Hello, after the recent update, my Smartphone doesn't work as planned.",Technical Support,Smartphone,2025-05-02 19:03:03,19,4,6,6
Q00026,"Good evening,

I noticed some irregular behavior with my Smart TV that I believe your team should look into. 

Thank you.",Order Management,Smart TV,2025-05-13 03:15:12,3,1,2,3
Q00026_aug_1,"Good evening, I noticed an irregular behavior with my Smart TV that I think your team should review.",Order Management,Smart TV,2025-05-13 03:15:12,3,1,2,3
Q00027,"Dear support,

I've been facing persistent problems with my Smartwatch. 

Thank you.",Product Inquiry,Smartwatch,2025-05-05 14:04:58,14,0,3,0
Q00027_aug_1,"Dear support, I have been confronted with persistent problems with my Smartwatch. Thank you.",Product Inquiry,Smartwatch,2025-05-05 14:04:58,14,0,3,0
Q00028,"Hello team,

My Laptop has stopped functioning properly and I need help resolving the issue. Please address this issue at your earliest convenience.

Thank you.",Order Management,Laptop,2025-05-10 12:25:28,12,5,2,4
Q00028_aug_1,"Hello team, My laptop stopped working properly and I need help solving the problem. Please treat this problem as soon as possible. Thank you.",Order Management,Laptop,2025-05-10 12:25:28,12,5,2,4
Q00029,"Hello,

After the recent update, my Smartphone isn't working as expected. Please look into this matter urgently.

Thank you.",Billing,Smartphone,2025-05-23 02:25:23,2,4,1,6
Q00029_aug_1,"Hello, After the recent update, my Smartphone does not work as planned. Please consider this issue of urgency. Thank you.",Billing,Smartphone,2025-05-23 02:25:23,2,4,1,6
Q00032,"Hello,

I've been facing persistent problems with my Smart TV. 

Thank you.",Account Management,Smart TV,2025-05-04 16:00:38,16,6,0,3
Q00032_aug_1,"Hello, I've been confronted with persistent problems with my Smart TV. Thank you.",Account Management,Smart TV,2025-05-04 16:00:38,16,6,0,3
Q00033,"Hello team,

After the recent update, my Smartphone isn't working as expected. I would appreciate a prompt response.

Thank you.",Product Inquiry,Smartphone,2025-05-05 21:10:31,21,0,3,6
Q00033_aug_1,"Hello team, After the recent update, my smartphone does not work as planned. I would appreciate a quick answer. Thank you.",Product Inquiry,Smartphone,2025-05-05 21:10:31,21,0,3,6
Q00034,"I hope this message finds you well,

I noticed some irregular behavior with my Gaming Console that I believe your team should look into. 

Thank you.",Order Management,Gaming Console,2025-05-19 15:43:03,15,0,2,1
Q00034_aug_1,"I hope this message finds you well, I noticed an irregular behavior with my game console that I think your team should examine. Thank you.",Order Management,Gaming Console,2025-05-19 15:43:03,15,0,2,1
Q00036,"Good morning,

This is to bring to your attention an ongoing issue with my Tablet that hasn't been resolved yet. 

Thank you.",Product Inquiry,Tablet,2025-04-29 03:23:58,3,1,3,5
Q00036_aug_1,"Hello, this is to bring to your attention a permanent problem with my tablet that has not yet been solved. Thank you.",Product Inquiry,Tablet,2025-04-29 03:23:58,3,1,3,5
Q00038,"Hello,

I've been facing persistent problems with my Router. 

Thank you.",Shipping,Router,2025-05-14 02:30:17,2,2,5,7
Q00038_aug_1,"Hello, I have been confronted with persistent problems with my router.",Shipping,Router,2025-05-14 02:30:17,2,2,5,7
Q00039,"Hello team,

There seems to be a malfunction with my Router that needs urgent attention. Looking forward to your swift assistance.

Thank you.",Account Management,Router,2025-05-08 04:09:07,4,3,0,7
Q00039_aug_1,"Hello team, there seems to be a malfunction with my router that needs urgent attention.",Account Management,Router,2025-05-08 04:09:07,4,3,0,7
Q00040,"I hope this message finds you well,

My recent experience with the Gaming Console has been quite disappointing due to several bugs. Looking forward to your swift assistance.

Thank you.",Returns & Refunds,Gaming Console,2025-04-28 18:06:44,18,0,4,1
Q00040_aug_1,"I hope this message finds you well, My recent experience with the game console has been quite disappointing due to several bugs.",Returns & Refunds,Gaming Console,2025-04-28 18:06:44,18,0,4,1
Q00042,"Good morning,

This is to bring to your attention an ongoing issue with my Smartphone that hasn't been resolved yet. Kindly resolve this issue as soon as possible.

Thank you.",Shipping,Smartphone,2025-05-16 21:44:08,21,4,5,6
Q00042_aug_1,"Hello, This is to bring to your attention a permanent problem with my smartphone that has not yet been solved. Please solve this problem as soon as possible. Thank you.",Shipping,Smartphone,2025-05-16 21:44:08,21,4,5,6
Q00043,"I hope this message finds you well,

My Smartwatch has stopped functioning properly and I need help resolving the issue. 

Thank you.",Product Inquiry,Smartwatch,2025-05-07 05:34:18,5,2,3,0
Q00043_aug_1,"I hope this message will find you, my Smartwatch has stopped working properly and I need help to solve the problem. Thank you.",Product Inquiry,Smartwatch,2025-05-07 05:34:18,5,2,3,0
Q00044,"Good morning,

My Laptop has stopped functioning properly and I need help resolving the issue. 

Thank you.",Shipping,Laptop,2025-05-21 19:56:54,19,2,5,4
Q00044_aug_1,"Hello, my laptop stopped working properly and I need help solving the problem. Thank you.",Shipping,Laptop,2025-05-21 19:56:54,19,2,5,4
Q00045,"Hello team,

There seems to be a malfunction with my Tablet that needs urgent attention. 

Thank you.",Technical Support,Tablet,2025-05-16 12:06:11,12,4,6,5
Q00045_aug_1,"Hello team, there seems to be a malfunction with my tablet that needs urgent attention. Thank you.",Technical Support,Tablet,2025-05-16 12:06:11,12,4,6,5
Q00046,"Hello team,

My Smart TV has stopped functioning properly and I need help resolving the issue. 

Thank you.",Billing,Smart TV,2025-04-30 11:07:05,11,2,1,3
Q00046_aug_1,"Hello team, my Smart TV stopped working properly and I need help solving the problem. Thank you.",Billing,Smart TV,2025-04-30 11:07:05,11,2,1,3
Q00047,"Hello team,

After the recent update, my Smartphone isn't working as expected. 

Thank you.",Order Management,Smartphone,2025-05-10 14:14:17,14,5,2,6
Q00047_aug_1,"Hello team, After the recent update, my smartphone doesn't work as planned. Thank you.",Order Management,Smartphone,2025-05-10 14:14:17,14,5,2,6
Q00048,"Good morning,

I've been facing persistent problems with my Laptop. Please look into this matter urgently.

Thank you.",Account Management,Laptop,2025-05-07 03:42:58,3,2,0,4
Q00048_aug_1,"Hello, I've been confronted with persistent problems with my laptop.",Account Management,Laptop,2025-05-07 03:42:58,3,2,0,4
Q00051,"Hello team,

This is to bring to your attention an ongoing issue with my Router that hasn't been resolved yet. 

Thank you.",Shipping,Router,2025-05-04 12:17:04,12,6,5,7
Q00051_aug_1,"Hello team, This is to bring to your attention a continuous problem with my Router that has not yet been solved. Thank you.",Shipping,Router,2025-05-04 12:17:04,12,6,5,7
Q00052,"Hello,

I noticed some irregular behavior with my Smartwatch that I believe your team should look into. 

Thank you.",Billing,Smartwatch,2025-04-26 21:14:37,21,5,1,0
Q00052_aug_1,"Hello, I noticed an irregular behavior with my Smartwatch that I think your team should examine.",Billing,Smartwatch,2025-04-26 21:14:37,21,5,1,0
Q00053,"Hello team,

This is to bring to your attention an ongoing issue with my Smartphone that hasn't been resolved yet. 

Thank you.",Returns & Refunds,Smartphone,2025-05-12 17:21:54,17,0,4,6
Q00053_aug_1,"Hello team, This is to bring to your attention a continuous problem with my Smartphone that has not yet been solved. Thank you.",Returns & Refunds,Smartphone,2025-05-12 17:21:54,17,0,4,6
Q00054,"Hello team,

My Router has stopped functioning properly and I need help resolving the issue. 

Thank you.",Returns & Refunds,Router,2025-04-26 12:17:41,12,5,4,7
Q00054_aug_1,"Hello team, My Router stopped working properly and I need help solving the problem. Thank you.",Returns & Refunds,Router,2025-04-26 12:17:41,12,5,4,7
Q00055,"I hope this message finds you well,

This is to bring to your attention an ongoing issue with my Smart TV that hasn't been resolved yet. 

Thank you.",Order Management,Smart TV,2025-04-24 05:16:43,5,3,2,3
Q00055_aug_1,"I hope this message will find you, This is to bring to your attention a continuous problem with my Smart TV that has not yet been solved. Thank you.",Order Management,Smart TV,2025-04-24 05:16:43,5,3,2,3
Q00056,"Hi there,

My recent experience with the Smart TV has been quite disappointing due to several bugs. 

Thank you.",Technical Support,Smart TV,2025-05-19 01:47:28,1,0,6,3
Q00056_aug_1,"Hello, My recent experience with Smart TV has been quite disappointing due to several bugs. Thank you.",Technical Support,Smart TV,2025-05-19 01:47:28,1,0,6,3
Q00058,"I hope this message finds you well,

I need assistance with my Smart TV regarding a problem that just started this morning. 

Thank you.",Account Management,Smart TV,2025-05-05 04:27:33,4,0,0,3
Q00058_aug_1,"I hope this message will find you, I need help with my Smart TV about a problem that just started this morning. Thank you.",Account Management,Smart TV,2025-05-05 04:27:33,4,0,0,3
Q00059,"I hope this message finds you well,

Could you please assist with an unexpected error I've encountered on my Smartphone? 

Thank you.",Billing,Smartphone,2025-05-04 16:36:55,16,6,1,6
Q00059_aug_1,"I hope this message will find you, could you help with an unexpected mistake that I encountered on my smartphone? Thank you.",Billing,Smartphone,2025-05-04 16:36:55,16,6,1,6
Q00060,"To whom it may concern,

Could you please assist with an unexpected error I've encountered on my Gaming Console? Please look into this matter urgently.

Thank you.",Billing,Gaming Console,2025-04-27 01:20:15,1,6,1,1
Q00060_aug_1,"For whom can it concern, could you help us with an unexpected mistake that I encountered on my game console? Please consider this question of urgency. Thank you.",Billing,Gaming Console,2025-04-27 01:20:15,1,6,1,1
Q00061,"Hello,

There seems to be a malfunction with my Printer that needs urgent attention. 

Thank you.",Billing,Printer,2025-05-07 20:53:01,20,2,1,2
Q00061_aug_1,"Hello, there seems to be a malfunction with my printer that needs urgent attention.",Billing,Printer,2025-05-07 20:53:01,20,2,1,2
Q00062,"Good morning,

My recent experience with the Printer has been quite disappointing due to several bugs. 

Thank you.",Warranty Claims,Printer,2025-04-27 14:26:15,14,6,7,2
Q00062_aug_1,"Hello, My recent experience with the Printer has been quite disappointing due to several bugs. Thank you.",Warranty Claims,Printer,2025-04-27 14:26:15,14,6,7,2
Q00063,"Dear support,

My Smartphone has stopped functioning properly and I need help resolving the issue. 

Thank you.",Order Management,Smartphone,2025-05-22 00:29:14,0,3,2,6
Q00063_aug_1,"Dear support, My Smartphone has stopped working properly and I need help solving the problem. Thank you.",Order Management,Smartphone,2025-05-22 00:29:14,0,3,2,6
Q00064,"Good evening,

This is to bring to your attention an ongoing issue with my Smartwatch that hasn't been resolved yet. 

Thank you.",Warranty Claims,Smartwatch,2025-05-17 07:16:38,7,5,7,0
