Query_ID,Query_Text,Department,Device,Time_of_Day
Q00001,"Good evening,

I'm writing to report a serious issue with my Smartwatch. Please look into this matter urgently.

Thank you.",Shipping,Smartwatch,2025-05-16 23:26:09
Q00002,"Hi there,

My recent experience with the Gaming Console has been quite disappointing due to several bugs. Looking forward to your swift assistance.

Thank you.",Billing,Gaming Console,2025-05-03 07:30:10
Q00003,"I hope this message finds you well,

Could you please assist with an unexpected error I've encountered on my Printer? Looking forward to your swift assistance.

Thank you.",Shipping,Printer,2025-05-03 12:18:38
Q00004,"I hope this message finds you well,

I'm writing to report a serious issue with my Smart TV. 

Thank you.",Warranty Claims,Smart TV,2025-05-22 20:48:41
Q00005,"I hope this message finds you well,

I need assistance with my Laptop regarding a problem that just started this morning. 

Thank you.",Technical Support,Laptop,2025-05-02 06:11:37
Q00006,"Hello team,

Could you please assist with an unexpected error I've encountered on my Printer? 

Thank you.",Technical Support,Printer,2025-04-30 12:34:07
Q00007,"Hello,

I've been facing persistent problems with my Printer. 

Thank you.",Returns & Refunds,Printer,2025-05-08 03:08:33
Q00008,"Good evening,

I'm writing to report a serious issue with my Printer. 

Thank you.",Returns & Refunds,Printer,2025-05-11 06:46:21
Q00009,"Dear support,

I'm writing to report a serious issue with my Laptop. 

Thank you.",Returns & Refunds,Laptop,2025-05-19 00:22:20
Q00010,"Hi there,

My recent experience with the Gaming Console has been quite disappointing due to several bugs. 

Thank you.",Billing,Gaming Console,2025-05-22 21:12:24
Q00011,"Good evening,

Could you please assist with an unexpected error I've encountered on my Tablet? 

Thank you.",Returns & Refunds,Tablet,2025-04-27 00:25:07
Q00012,"Good morning,

I'm writing to report a serious issue with my Tablet. 

Thank you.",Account Management,Tablet,2025-05-03 06:54:11
Q00013,"To whom it may concern,

Could you please assist with an unexpected error I've encountered on my Smartwatch? 

Thank you.",Returns & Refunds,Smartwatch,2025-05-05 06:26:38
Q00014,"To whom it may concern,

I'm writing to report a serious issue with my Smartwatch. I would appreciate a prompt response.

Thank you.",Order Management,Smartwatch,2025-04-24 07:27:28
Q00015,"Hi there,

My Smartphone has stopped functioning properly and I need help resolving the issue. 

Thank you.",Order Management,Smartphone,2025-05-02 10:04:41
Q00016,"I hope this message finds you well,

There seems to be a malfunction with my Printer that needs urgent attention. Please look into this matter urgently.

Thank you.",Shipping,Printer,2025-05-08 02:05:49
Q00017,"Hello team,

This is to bring to your attention an ongoing issue with my Smartwatch that hasn't been resolved yet. Looking forward to your swift assistance.

Thank you.",Warranty Claims,Smartwatch,2025-05-05 11:01:04
